,COUNTY_NAME,COUNTY_CODE,OFFENSE_TYPE_ID,OFFENSE_NAME,INCIDENT_COUNT
259,"['DENTON', ' COLLIN']","[61, 43]",56,Fondling,9
260,"['DALLAS', ' ROCKWALL', ' COLLIN']","[57, 199, 43]",56,Fondling,1
261,"['GUADALUPE', ' COMAL']","[94, 46]",56,Fondling,1
262,['CORYELL'],[50],56,Fondling,2
263,"['ELLIS', ' DALLAS']","[70, 57]",56,Fondling,2
264,['DALLAS'],[57],56,Fondling,1
265,"['COLLIN', ' DALLAS']","[43, 57]",56,Fondling,7
266,"['ELLIS', ' TARRANT', ' DALLAS']","[70, 220, 57]",56,Fondling,5
267,['DALLAS'],[57],56,Fondling,1
268,"['KAUFMAN', ' DALLAS']","[129, 57]",56,Fondling,11
269,"['COLLIN', ' DALLAS']","[43, 57]",56,Fondling,4
270,"['COLLIN', ' DALLAS']","[43, 57]",56,Fondling,1
271,"['ROCKWALL', ' DALLAS']","[199, 57]",56,Fondling,4
272,['DENTON'],[61],56,Fondling,4
273,['DENTON'],[61],56,Fondling,1
274,"['DALLAS', ' DENTON']","[57, 61]",56,Fondling,4
275,['DENTON'],[61],56,Fondling,2
276,['DENTON'],[61],56,Fondling,1
277,['DENTON'],[61],56,Fondling,1
278,['DEWITT'],[62],56,Fondling,1
279,['EASTLAND'],[67],56,Fondling,3
280,['EL PASO'],[71],56,Fondling,1
281,['EL PASO'],[71],56,Fondling,4
282,['FORT BEND'],[79],56,Fondling,5
283,['GALVESTON'],[84],56,Fondling,3
284,"['HARRIS', ' GALVESTON']","[101, 84]",56,Fondling,2
285,['GALVESTON'],[84],56,Fondling,1
286,['GRAY'],[90],56,Fondling,1
287,"['HARRISON', ' GREGG']","[102, 92]",56,Fondling,4
288,['GUADALUPE'],[94],56,Fondling,1
289,['HARDIN'],[100],56,Fondling,2
290,['HARRIS'],[101],56,Fondling,1
291,['HARRIS'],[101],56,Fondling,1
292,['HARRIS'],[101],56,Fondling,2
293,['HARRIS'],[101],56,Fondling,1
294,['HARRIS'],[101],56,Fondling,1
295,"['CALDWELL', ' HAYS']","[28, 105]",56,Fondling,4
296,['HIDALGO'],[108],56,Fondling,1
297,['HIDALGO'],[108],56,Fondling,3
298,['HOPKINS'],[112],56,Fondling,4
299,['HOPKINS'],[112],56,Fondling,5
300,['HOWARD'],[114],56,Fondling,2
301,['HUNT'],[116],56,Fondling,1
302,['JACK'],[119],56,Fondling,1
303,"['ORANGE', ' JEFFERSON']","[181, 123]",56,Fondling,1
304,['JOHNSON'],[126],56,Fondling,2
305,['KAUFMAN'],[129],56,Fondling,2
306,['KAUFMAN'],[129],56,Fondling,1
307,['KAUFMAN'],[129],56,Fondling,2
308,['KENDALL'],[130],56,Fondling,1
309,['KERR'],[133],56,Fondling,1
310,['LAMAR'],[139],56,Fondling,1
311,['LAMAR'],[139],56,Fondling,1
312,['LAMPASAS'],[141],56,Fondling,1
313,['LEE'],[144],56,Fondling,1
314,['LIMESTONE'],[147],56,Fondling,3
315,['LIMESTONE'],[147],56,Fondling,1
316,['MCLENNAN'],[155],56,Fondling,4
317,['MCLENNAN'],[155],56,Fondling,2
318,['MCLENNAN'],[155],56,Fondling,2
319,['MONTGOMERY'],[170],56,Fondling,1
320,['MOORE'],[171],56,Fondling,1
321,['NACOGDOCHES'],[174],56,Fondling,2
322,['NAVARRO'],[175],56,Fondling,1
323,['NUECES'],[178],56,Fondling,14
324,['PARKER'],[184],56,Fondling,1
325,['POLK'],[187],56,Fondling,3
326,['POLK'],[187],56,Fondling,1
327,"['RANDALL', ' POTTER']","[191, 188]",56,Fondling,9
328,['ROCKWALL'],[199],56,Fondling,1
329,"['HUNT', ' COLLIN', ' ROCKWALL']","[116, 43, 199]",56,Fondling,1
330,['RUSK'],[201],56,Fondling,1
331,['SHELBY'],[210],56,Fondling,2
332,['SMITH'],[212],56,Fondling,1
333,['STARR'],[214],56,Fondling,1
334,['TARRANT'],[220],56,Fondling,5
335,['TARRANT'],[220],56,Fondling,1
336,"['JOHNSON', ' TARRANT']","[126, 220]",56,Fondling,1
